Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Project ID,Agency Project ID,Project Name,Project Description,Start Date,Completion Date (B1),Planned Project Completion Date (B2),Projected/Actual Project Completion Date (B2),Lifecycle Cost,Schedule Variance (in days),Schedule Variance (%),Cost Variance ($ M),Cost Variance (%),Planned Cost ($ M),Projected/Actual Cost ($ M),Updated Date,Updated Time,Unique Project ID
005-000001723,212,5,Department of Agriculture,AMS Infrastructure WAN and DMZ (AMSWAN),656,,Operations,Annual Agency Operations.,01/10/2011,2012-30-09,,,15.297,0,0,0,0,15.297,15.297,22/09/2011,10:22:25,1
005-000001723,212,5,Department of Agriculture,AMS Infrastructure WAN and DMZ (AMSWAN),657,,Virtualization,Program Areas will migrate their data over to the agencys virtual servers and shut down their current server.,01/10/2011,31/03/2012,31/03/2012,31/03/2012,0.179,-153,-84.07,0,0,0.179,0.179,30/11/2011,06:09:57,2
005-000001723,212,5,Department of Agriculture,AMS Infrastructure WAN and DMZ (AMSWAN),658,,Refresh,Programs Areas will replace 1/3 of their computers which have an expired warranty.,01/04/2012,30/09/2012,,,1.46,0,0,0,0,1.46,1.46,28/10/2011,05:50:19,3
005-000001822,213,5,Department of Agriculture,APHIS Electronic Permits System (ePermits),661,,ePermits O&M FY11 Part 1.,"Production Support including Analysis, Software Fixes, System Software Upgrades, Help Desk.",01/04/2011,30/09/2011,30/09/2011,30/09/2011,1.8205,0,0,0.3641,20,1.8205,1.4564,31/05/2012,14:20:11,PER1822001
005-000001822,213,5,Department of Agriculture,APHIS Electronic Permits System (ePermits),662,,ePermits O&M FY12 Part 1,"Production Support including Analysis, Software Fixes, System Software Upgrades, Help Desk.",01/04/2012,30/09/2012,30/09/2012,30/09/2012,1.713,0,0,0,0,1.713,1.713,31/05/2012,14:20:11,PER1822002
005-000001822,213,5,Department of Agriculture,APHIS Electronic Permits System (ePermits),663,,ePermits O&M FY12 Part 2,"Production Support including Analysis, Software Fixes, System Software Upgrades, Help Desk.",01/10/2012,31/03/2013,,,1.45,0,0,0,0,1.45,1.45,31/05/2012,14:20:11,PER1822003
005-000001822,213,5,Department of Agriculture,APHIS Electronic Permits System (ePermits),664,,BRS Field Reports Phase 2,UAT Bug Fixes.,31/12/2010,31/03/2011,31/03/2011,31/03/2011,0.01,0,0,0,0,0.01,0.01,22/09/2011,10:34:24,PERD182202
005-000000038,214,5,Department of Agriculture,APHIS Enterprise Infrastructure,665,,Enterprise Management,Management of APHIS Enterprise IT Systems.,01/10/2010,30/09/2011,30/09/2011,20/09/2011,46.96,10,2.75,0,0,46.96,46.96,22/09/2011,10:34:32,AEI0038000
005-000000038,214,5,Department of Agriculture,APHIS Enterprise Infrastructure,666,,VoIP Riverdale,"Installation of voice over IP phones in Riverdale, MD headquarters facility.",15/08/2011,30/04/2012,30/04/2012,30/04/2012,0.662,0,0,0,0,0.662,0.662,31/05/2012,14:20:13,AEI0038001
005-000000038,214,6,Department of Agriculture,APHIS Enterprise Infrastructure,667,,Enterprise Security,Maintain Enterprise Security integrity.,06/09/2011,31/12/2012,,,3.155,0,0,0,0,0.572,0.572,01/08/2012,13:21:08,AEI0038002
005-000000038,214,5,Department of Agriculture,APHIS Enterprise Infrastructure,668,,Telecom,Maintain Enterprise telecom service integrity.,06/09/2011,21/12/2012,02/03/2012,02/03/2012,14.239,0,0,2.0244,84,2.41,0.3856,31/05/2012,14:20:14,AEI0038003
005-000000038,214,5,Department of Agriculture,APHIS Enterprise Infrastructure,669,,Enterprise Software license optimization,Maintain and update all Enterprise software licenses.,03/10/2011,07/09/2012,07/09/2012,07/09/2012,10.058,0,0,0,0,10.058,10.058,31/05/2012,14:20:14,AEI0038004
005-000000038,214,5,Department of Agriculture,APHIS Enterprise Infrastructure,670,,Hardware Maintenance,Maintain Enterprise hardware service support and operational integrity.,01/11/2011,31/05/2012,31/05/2012,31/05/2012,4.268,0,0,0,0,4.268,4.268,30/06/2012,14:56:34,AEI0038005
005-000000038,214,5,Department of Agriculture,APHIS Enterprise Infrastructure,671,,Enterprise Life Cycle Management,Engage life cycle management of Enterprise systems. Target is optimal performance of Enterprise.,01/03/2012,24/08/2012,24/08/2012,24/08/2012,4.01,-7,-3.98,0,0,2.23,2.23,01/08/2012,13:21:08,AEI0038006
005-000000093,215,5,Department of Agriculture,ATSA - Automated Timber Sale Accounting,1768,,Provision O&M Services,Provides the services required to meet the objectives of the investment.,01/10/2011,30/09/2012,,,675,0,0,0.4,22.86,1.75,1.35,31/10/2011,10:26:32,1
005-000001231,219,5,Department of Agriculture,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1092,,Program Loan Accounting System (PLAS),"PLAS is a legacy mainframe system of record for the Farm Loan Programs designed in the late 1970s.  This system is quickly reaching the end of its useful life. The Direct Loan System (DLS) is the new project that is being designed to replace PLAS functionality by streamlining and modernizing the direct loan process. During the development of DLS, PLAS is in a Steady State maintenance only mode unless large unexpected modifications such as Stimulus or disaster relief require quick solutions.",01/10/2002,28/09/2018,28/09/2012,28/09/2012,46.72,0,0,0.109,10.9,1,0.891,30/04/2012,11:14:58,1231-11-01
005-000001231,219,5,Department of Agriculture,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1093,,Electronic Debt and Loan Restructure System (eDALR$),"eDALR$ is an Intranet web-based program developed to assist authorized agency officials in determining and evaluating the effect of primary loan servicing. The eDALR$ system completes calculations based on information regarding the borrower's cash flow and loan status. This information is used to restructure the borrower's debt and maximize their repayment ability, while minimizing loss to the Government. This system replaced the Legacy DALR$ system in Feb 2008 and is currently in Steady State.",01/10/2002,28/09/2018,28/09/2012,28/09/2012,23.36,0,0,0,0,0.35,0.35,30/04/2012,11:14:58,1231-19-01
005-000001231,219,5,Department of Agriculture,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1094,,Direct Loan System (DLS),"Farm Loan Programs (FLP) provides direct loans to farmers and ranchers who cannot obtain financing through conventional lending institutions. The DLS project is intended to streamline and modernize current FLP inefficient, duplicative, and paper-based loan making and loan servicing processes and support the USDAs Strategic Plan by deploying solutions that are customer focused, collaborative and results oriented.  This is the only portion of the CFLPIDS project that is currently undergoing DME.",01/10/2002,28/09/2018,,,116.8,0,0,0.087,0.74,11.678,11.591,01/08/2012,13:21:41,1231-24-01
005-000001231,219,5,Department of Agriculture,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1095,,Farm Loan Program Risk Assessment (FLPRA),"The FLPRA system pulls data from other FLP applications and generates various management reports used to identify high risk lending States. Once a service center is reviewed and scored, the data is entered at the State level and the system tracks the scores assigned to Service Centers. This system replaced the Legacy National Internal Review (NIR) system in February 2006 and is currently in Steady State.",01/10/2002,28/09/2018,28/09/2012,28/09/2012,23.36,0,0,0.004,4,0.1,0.096,30/04/2012,11:14:58,1231-25-01
005-000001231,219,5,Department of Agriculture,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1096,,Farm Business Plan (FBP),The FBP system is a Web based system that evaluates an individual Borrowers situation and identifies ways that the FLP can provide assistance. This system replaced functionality from the Legacy System 36 Management of Agriculrural Credit (MAC) system in May 2007 and is currently in Steady State.,01/10/2002,28/09/2018,28/09/2012,28/09/2012,23.36,0,0,0,0,0.44,0.44,30/04/2012,11:14:58,1231-30-01
005-000001232,220,5,Department of Agriculture,Consolidated Financial Management Information Systems (CFMIS) #106,1648,,Ongoing maintenance of 26 financial systems within AFAO.,Contractor and FTE maintenance and production support for 26 financial applications within AFAO.,01/07/2011,30/09/2012,30/09/2012,30/09/2012,5.9004,0,0,0.2189,3.71,5.9002,5.6813,01/08/2012,13:21:48,AFAOFY1201
005-000001232,220,5,Department of Agriculture,Consolidated Financial Management Information Systems (CFMIS) #106,1649,,Maintenance support for FMMI Readiness.,Maintenance activities to prepare AFAO financial systems for alignment with FMMI.,01/07/2011,30/09/2012,30/09/2012,30/09/2012,2.306,0,0,0.1164,5.05,2.3053,2.1889,01/08/2012,13:21:48,AFAOFY1202
005-000001234,221,5,Department of Agriculture,Consolidated General Sales Manager (CGSM) #107,1650,,APLUS Operations and Maintenance,Contractor and FTE maintenance and production support for the APLUS program.,01/07/2011,30/09/2012,30/09/2012,30/09/2012,0.795,0,0,0.139,36.68,0.379,0.24,31/05/2012,14:20:42,APLUS-001
005-000001234,221,5,Department of Agriculture,Consolidated General Sales Manager (CGSM) #107,1651,,GSM Operations and Maintenance,Contract and FTE maintenance and production support for the current GSM PowerBuilder and web applications and the GSM datamart.,01/10/2004,30/09/2012,30/09/2012,30/09/2012,1.404,0,0,-0.004,-0.36,1.109,1.113,31/05/2012,14:20:42,GSM-001
005-000001234,221,5,Department of Agriculture,Consolidated General Sales Manager (CGSM) #107,1652,,GSM Migration,Migration of the GSM functionality on the PowerBuilder platform to a JAVA based web application using USDA and FSA architectural standards.,01/07/2011,30/09/2012,,,1.451,0,0,0.241,16.61,1.451,1.21,01/08/2012,13:21:51,GSM-002
005-000000065,224,5,Department of Agriculture,Enterprise Shared Services,1945,,FY2012 Operations.,FY2012 Operations expenses.,01/10/2011,30/09/2012,,,16.498,0,0,16.498,100,16.498,0,26/09/2011,12:26:32,FY12OPS
