Business,date,review_id,stars,text
Four Peaks,29/01/2011,wxJbkvhNEu0O9ghfFPE8nw,4,"I really am a fan of this place. It has good food and good beer, and also is associated with some good memories here. This place is a great place to come to and watch a game or two. Or in our case, a great place to come to after watching out team win or lose the game. The parking here can be difficult since there is no lot or anything designated for costumer parking. The beer is really good here. I like the lighter beers, such as their regular peach beer, but their other beers and seasonal are awesome too. The food is delish; I always get a hankering for their beer battered fries. Eat it with their jalapeño ranch sauce and it's perfect. That and some loaded chicken nachos are easily split between friends; their portion sizes are fairly huge. It's really an awesome spot to get together with friend, have a pint, enjoy a game and some good food."
Four Peaks,05/08/2010,XdAtb3hIzydAmzdFy0Ubyw,5,"Still solid, still delicious. I love this place!"
Four Peaks,12/02/2010,G7f_vWLGMfkDenOTmamd9A,4,"There food is pretty good here but they have a lot of different brews, I tried a pumpkin beer witch was very good. This place used to be real quite and unnotice now it's always busy and very crowded. It is located away from mill ave by about 3 miles so if your trying to bar hop make sure you have a dd and stop by this place."
Four Peaks,30/09/2012,vM7LSLjxyH1RQ2xwYrXHIg,5,I love breweries and I love Four Peaks. One of e best breweries in Az. We came here on a Friday night but had no trouble getting a table. This place is huge and packed but still room to move around. We ordered the Hopshot IPA which is a great beer!  I've been here a few time and always had a good experience. I can't wait till the pumpkin porter coming Oct 1st!!!
Four Peaks,13/06/2009,-8Ed9HuTraLTPb-dTBxoCg,5,"Four Peaks serves up some great beers and great eats.  This is no secret so no matter which day out of the year or which hour and minute out of the day you go you will see a full patio, and a populated bar.  Plan accordingly.  Try their Italian beer bread, the Carne Adovada, or the Southwest burger and wash it down with a pint of Hop Knot or Kilt Lifter.  You will be happy you did.  All of Four Peaks' menu items are appropriately priced and you will always leave satisfied."
Four Peaks,25/02/2010,N4dWz-SCUPan0eaNYzvVlw,5,"I love this place. Just to hang out on a Summer day on the patio and have a beer is like...the perfect day. 

The food is awesome. The Kilt Lifter is tasty and thirst quenching. 

The area is definitely lucky to have such a place."
Four Peaks,25/12/2010,U93-ihU3kKeQzJLy75TpGQ,5,"Unfortunately I don't get enough chances to come here but, I'd say I have been here about a dozen times and each time I have never been let down.  The beer is great, the food is great, especially their french fries and the crowd is OK.  Yes it is in Tempe and you're stuck with all the ASU kids but I like to come here in the summer time or when ASU is on break because it is the locals that are here.  It is not the nicest brewery that I have ever been to, but what they lack in aesthetics they make up for in beer.  A must go to place if you're in the Tempe area!"
Four Peaks,18/10/2011,2TVbs6123FVz0HCi-iLc7w,2,"I may make a few enemies in writing this review, and I may even get kicked out of Tempe completely, but seriously, Four Peaks is not the love of my life. Granted, I don't care for beer, so this is more or less a review of the food, atmosphere, and non-beer-like drinks. I have been here a few times with the husband (he loves it here) and I just don't get the hype. The food is bar food. Straight up bar food. I like the outdoor seating much better than indoor. Inside the place feels a little dreary, much like many bars I have encountered. The servers are friendly enough, although sometimes the service is a little slow. I get something different to eat every time, which if you know me, is not a good thing. When I like something, I get it every visit, but here, I am just searching for something - anything - that I like enough to order next time. Sigh. I know I'll be back, and I can't say I dread coming here - I usually have fun. I just feel like there are many places I'd rather spend my money on."
Four Peaks,05/05/2008,mPfQyadgoANUGLjtfwT9YA,5,"I came here on the opening night when someone from Gin Blossoms played on a makeshift stage, the beers were 25 cents and there was no food (but you know me, we ordered a pizza from a neighborhood pizza place.) Since then, they have added a full kitchen and the food is amazing (chicken strips that were designed for diners who appreciate tempura-like batter and are over the age of four), the beer is astounding (one word: Kolsch...makes me swoon) and the people are great. It's worth the walk wherever you end up finding a space to park--even better, ride your bike over like we do! The Sunday brunch is great. All of my friends sit and wish they had a student loan that would enable them to spend at least half of the day drinking here daily. I don't blame them."
Four Peaks,04/03/2009,aYjwrhDseptZ6lF0KmNVvg,5,"Great beer, Good atmosphere, Non annoying music and great wait staff make this my favorite place to spend an evening."
