Title,Event / Type,Tags,URL,Description,Upload Date,Type
ODI Fridays: Open research – making harmful habits history,ODI Fridays,Humans Technology Internet Healthcare Facilities & Services (NEC),https://www.youtube.com/watch?v=fgm7KSoBt9Y,"How can open research help overcome the issues currently affecting the research community?

In this talk, Ashley Farley (Program Officer of Knowledge and Research Services and the lead of the Open Access team at the Bill & Melinda Gates Foundation) discusses the issues currently plaguing the research community – such as perverse incentives, publish or perish perceptions, and information overload – and how open research practices can provide a salve.

The solution focuses on building from community-led initiatives and imbuing the ecosystem with transparency, ending with a call-to-action to make history by changing the status quo. The time for open access is now and this presentation will explain why.


About the speaker
Ashley Farley is the Program Officer of Knowledge and Research Services and the lead of the Open Access team at the Bill & Melinda Gates Foundation. She has spent more than 10 years in both academic and public libraries, focusing on digital inclusion and providing access to scholarly content. She is a passionate advocate for Open Access and believes that free and accessible research increases and expedites innovation, helps solve problems faster, and ultimately saves more lives sooner.",28/1/2022,Video
ODI Fridays: Driving sustainable innovation with geospatial data,ODI Fridays,Articles Enforcement Aerospace & Defense (NEC),https://www.youtube.com/watch?v=rO-IaJh1vEo,"In this talk, Adam Mew (Developer Marketing Lead, Ordnance Survey) and Carly Morris (Head of Geovation, Ordnance Survey) share how the OS Map & Hack enabled geospatial data to be used to drive sustainable innovation across multiple industries and disciplines.

OS Map & Hack was a virtual hackathon dedicated to transportation and sustainability, bringing together teams across government, private enterprise, start-up, and academia communities. The outputs included new and enhanced solutions for Electric Vehicle (EV) infrastructure planning as well as routing and navigation apps, which enhance the consumer experience and the behaviours of owning and adopting EVs.

About the speakers
Carly Morris is the Head of Geovation at Ordnance Survey – a community of over 1800 start-ups, investors, corporate innovators and developers who all understand the power of location data. Her role is to lead the Geovation team and strategic direction of the business, offering accelerator programmes, innovation challenges and events in the UK and internationally.

Prior to joining Geovation, Carly was the Head of Innovation at International Airlines Group Cargo, where she led the global innovation strategy and worked with start-ups to test everything from drones to VR in the airline. She has received industry-wide recognition for her work, being featured in outlets such as CNBC and Women in Technology, and was a Tech Women 100 winner in 2020. Carly speaks 5 languages and in her spare time enjoys practicing them by travelling as much as possible!

A keen interest in future trends and innovation, Adam Mew is the developer marketing lead at Ordnance Survey, Great Britain’s national mapping agency. His role brings OS data and APIs into new and emerging markets, bringing its data platform closer to a growing audience of developers and data scientists.

Before OS, Adam spent time within the defence and national security sector at UK innovator Roke and Chemring, where he led focussed, strategic marketing initiatives and product launches for sensors, AI and data science solution designed for international military and law enforcement agencies. More notably, in the product development and go-to-market of Information and Electronic Warfare solutions.",14/1/2022,Video
ODI Canalside Chats: The healing power of social prescribing,Canalside chats,"Health Social Issues  data,ai,health,healthcare,NHS,health data,social prescribing,link workers",https://www.youtube.com/watch?v=ZKq85c1fX_k,"Data can be incredibly important to those working in social prescribing.

According to a recent report commissioned by the ODI, more effective social prescribing could free up between 2–5% of GP appointments, making between 3.2 to 8 million appointments available to those with a clinical need and relieving pressure on the NHS.

View the report here: https://theodi.org/article/the-role-of-data-in-unlocking-the-potential-of-social-prescribing-report/

In this talk, Dr Marcello Bertotti (co-founder of the Social Prescribing Network and of the Social Prescribing Youth Network) and Louise Burke (Managing Director, ODI) discuss the potential benefits and opportunities of social prescribing, and the current challenges and barriers – including a lack of data – to patients accessing it.

The ODI Canalside Chats series brings together leading thinkers to discuss important data topics. To join us at future ODI Canalside Chats, visit: https://theodi.org/event_series/odi-canalside-chats",11/1/2022,Video
ODI Canalside Chats: The rise of the Chief Data Officer,Canalside chats,"Chief data officer Technology Internet  data,leadership,c-suite,data leader,CDO,Chief Data Officer,data leadership",https://www.youtube.com/watch?v=SICm13HFOjQ,"The data profession is relatively young, but it’s growing in importance – with intangible assets now appearing on the balance sheet, where 15 years ago physical infrastructure would have had dominance.

But with the average tenure of a Chief Data Officer (CDO) being two-and-a-half years, is this time to make the difference that is needed?

In this talk, Barry Green (CDO Consultant and Digital Enterprise Architect at DSM) and Lisa Allen (Head of Consultancy for Data Programmes, ODI) discuss the rise of the Chief Data Officer.

The ODI Canalside Chats series brings together leading thinkers to discuss important data topics. To join us at future ODI Canalside Chats, visit: https://theodi.org/event_series/odi-canalside-chats",10/1/2022,Video
ODI Canalside Chats: The role of data in tackling climate change,Canalside chats,"Overseas Development Institute Environment  data,ai,climate,climate change,energy",https://www.youtube.com/watch?v=ikw-HapM73A,"What is data’s role in tackling climate change? And how can data leaders, policymakers, regulators, and researchers working to tackle climate change make better decisions using data?

Jo-Jo Hubbard (co-founder and CEO, Electron) and Volker Buscher (Chief Data Officer, Arup) discuss the role of data in tackling climate change.

The ODI Canalside Chats series brings together leading thinkers to discuss important data topics. To join us at future ODI Canalside Chats, visit: https://theodi.org/event_series/odi-canalside-chats",10/1/2022,Video
ODI Canalside Chats: Is the data industry getting its boardroom balanced?,Canalside chats,"Academic disciplines Technology Internet Internet Service Providers data,ai,women in tech,women in data,women in digital,gender,inequality",https://www.youtube.com/watch?v=vs_3Xa7-uy4,"Algorithms, careers and adjustments: Is the data (and tech) industry getting its boardroom balanced?

Justine Roberts CBE (founder and CEO at Mumsnet) and Professor Judy Wajcman (Anthony Giddens Professor of Sociology, London School of Economics; and Principal Investigator for the Women in Data Science and AI project, The Alan Turing Institute) discuss discuss gender in the data and tech industry and whether inequality is being beat.

The ODI Canalside Chats series brings together leading thinkers to discuss important data topics. To join us at future ODI Canalside Chats, visit: https://theodi.org/event_series/odi-canalside-chats",10/1/2022,Video
ODI Summit 2021: Building communities with data and digital tech,ODI Summit 2021,"Miro Griffiths Social Issues  data,ai,digital tech,communities",https://www.youtube.com/watch?v=LTGg6l68KTM,"There is a strong culture and history of minority groups building communities and creating ‘safe spaces’ for welcome and solidarity: what does that heritage look like now and how does it translate to a data/digital tech world?

Eleanor Shearer (Researcher, Institute for Government and recipient of ODI’s Black History Month Writers’ Fund 2020) talks to Miro Griffiths (Leverhulme Early Career Research Fellow, School of Sociology and Social Policy, University of Leeds), Harmeet Chagger-Khan (artist and
filmmaker) and Max Beverton-Palmer (Director, Internet Policy Unit, Institute for Global Change) about the use of data and digital tech in building communities.",6/1/2022,Video
ODI Summit 2021: Sir Tim Berners-Lee and Sir Nigel Shadbolt – The State of the Data Nation,ODI Summit 2021,"Fellows of the British Computer Society Technology Internet  data,ai,open data,ODI,Open Data Institute,ODI Summit,Tim Berners-Lee,Nigel Shadbolt",https://www.youtube.com/watch?v=L6cBYyJJ3Lw,"ODI co-founders Sir Tim Berners-Lee and Sir Nigel Shadbolt speak about the future of open data in these clips from the State of the Data Nation interview at ODI Summit 2021.

This is a session from ODI Summit 2021. The ODI Summit is the Open Data Institute's annual flagship event, but they also run courses, talks and research throughout the year. Find out more about ODI Summit here: https://theodi.org/event_series/odi-summit",21/12/2021,Video
ODI Summit 2021: Statecraft: what role does data play in the world of diplomacy?,ODI Summit 2021,"Open Data Institute Technology Internet  data,data collaboration,ODI Summit 2021,data policy",https://www.youtube.com/watch?v=Sdc5iMh0nV4,"In this panel, we examine how geopolitics affects data policies and practices, and vice versa, and the role of diplomacy in ensuring that we get to a world where data works for everyone.

Anne Flanagan (Project Lead, Data Policy & Governance, World Economic Forum) talks with panelists Teki Akuetteh Falconer (Founder & Executive Director, Africa Digital Rights Hub), Jenny Hall (Deputy Director, International Data Unit Department of Culture Media & Sport) and Arindrajit Basu (Research Lead, Centre for Internet and Society).

This is a session from ODI Summit 2021. The ODI Summit is the Open Data Institute's annual flagship event, but they also run courses, talks and research throughout the year. Find out more about ODI Summit here: https://theodi.org/event_series/odi-summit",21/12/2021,Video
ODI Summit 2021: Kerching? Measuring the value of data in economy and society,ODI Summit 2021,"Open Data Institute Technology Internet  data,value of data,ODI Summit 2021",https://www.youtube.com/watch?v=IFmWh8AFKKM,"People often talk about the 'value of data', and in particular 'unlocking the value of data', but what does the 'value of data' actually mean?

Jeni Tennison (Vice President and Chief Strategy Adviser, ODI) talks with Professor Diane Coyle (Bennett Institute for Public Policy, University of Cambridge - in person) and Orlando Machado (Chief Data Officer, Lego Group) to provide a contrasting set of perspectives on what the 'value of data' is.

This is a session from ODI Summit 2021. The ODI Summit is the Open Data Institute's annual flagship event, but they also run courses, talks and research throughout the year. Find out more about ODI Summit here: https://theodi.org/event_series/odi-summit",21/12/2021,Video
